chain_id,sample_idx,correct,output_tokens,n_steps,v0_synthetic_cpu_min,v0_synthetic_cpu_mean
edb3ed4fb3,2,1,196,7,0.94985,0.97981
edb3ed4fb3,3,1,153,6,0.91934,0.97087
abae23b3d6,0,1,164,8,0.2746,0.90201
abae23b3d6,1,1,160,6,0.9719,0.98489
abae23b3d6,2,1,182,8,0.35507,0.91217
abae23b3d6,3,1,174,6,0.97164,0.98548
8c015fc592,0,1,358,17,0.98187,0.99637
8c015fc592,1,1,314,9,0.98498,0.99538
8c015fc592,2,1,331,18,0.8314,0.98711
8c015fc592,3,1,348,14,0.99051,0.99742
d9f901a1c0,0,1,298,11,0.81593,0.97622
d9f901a1c0,1,1,268,10,0.39765,0.92651
d9f901a1c0,2,1,256,10,0.98697,0.99463
d9f901a1c0,3,1,215,9,0.39765,0.92435
4891414404,0,1,205,7,0.98322,0.9896
4891414404,1,1,209,7,0.97519,0.98773
4891414404,2,1,225,7,0.98602,0.9914
4891414404,3,1,237,7,0.97524,0.98905
34bcabae57,0,1,266,11,0.53475,0.95417
34bcabae57,1,1,265,9,0.49793,0.94128
34bcabae57,2,1,168,9,0.40335,0.93098
34bcabae57,3,1,317,12,0.97348,0.99376
0227176140,0,1,191,5,0.9527,0.98359
0227176140,1,1,166,4,0.90431,0.97146
0227176140,2,1,196,8,0.98217,0.99363
0227176140,3,1,159,6,0.92393,0.97815
7a72e82cd8,0,0,421,20,0.376,0.94796
7a72e82cd8,1,0,396,14,0.05658,0.88099
7a72e82cd8,2,0,402,14,0.05658,0.8826
7a72e82cd8,3,0,353,19,0.05428,0.88436
4da9716ec4,0,0,373,18,0.86833,0.98507
4da9716ec4,1,1,387,14,0.98013,0.99418
4da9716ec4,2,0,320,12,0.82994,0.97879
4da9716ec4,3,1,485,18,0.68749,0.97688
fa6b6c6a22,0,1,295,10,0.97708,0.99579
fa6b6c6a22,1,1,273,9,0.86348,0.97457
fa6b6c6a22,2,1,270,11,0.96231,0.99158
fa6b6c6a22,3,1,267,9,0.96479,0.99201
7a941c5652,0,1,332,10,0.90322,0.9788
7a941c5652,1,1,347,7,0.96307,0.98917
7a941c5652,2,1,328,10,0.93984,0.98657
7a941c5652,3,1,369,11,0.9543,0.99137
f0459d6fd7,0,1,266,10,0.98503,0.99345
f0459d6fd7,1,1,310,12,0.9845,0.99394
f0459d6fd7,2,1,280,13,0.97071,0.99209
f0459d6fd7,3,1,305,10,0.95467,0.98983
6360464ff0,0,1,230,6,0.97607,0.9876
6360464ff0,1,1,173,7,0.97356,0.98908
6360464ff0,2,1,200,7,0.9646,0.98737
6360464ff0,3,1,223,6,0.96896,0.98596
58351f6d4a,0,0,228,9,0.53428,0.93409
58351f6d4a,1,0,264,12,0.22748,0.91346
58351f6d4a,2,0,280,11,0.57917,0.93111
58351f6d4a,3,0,456,23,0.9651,0.99335
4115f6ff16,0,1,313,14,0.9828,0.99404
4115f6ff16,1,1,350,15,0.96986,0.99435
4115f6ff16,2,1,346,12,0.74612,0.96856
4115f6ff16,3,1,306,16,0.98497,0.99369
99c653900d,0,1,284,11,0.9855,0.99441
99c653900d,1,0,256,7,0.98738,0.99402
99c653900d,2,1,280,9,0.98129,0.99359
99c653900d,3,1,277,9,0.97281,0.99132
6282169481,0,1,275,8,0.28647,0.90239
6282169481,1,1,244,7,0.17411,0.86836
6282169481,2,1,237,8,0.15493,0.88479
