chain_id,sample_idx,correct,output_tokens,n_steps,v0_synthetic_cpu_min,v0_synthetic_cpu_mean,v1_synthetic_top8_min,v1_synthetic_top8_mean,v1_real4_top8_min,v1_real4_top8_mean,v2_synthetic_seed0_min,v2_synthetic_seed0_mean,v2_synthetic_seed1_min,v2_synthetic_seed1_mean,v2_synthetic_seed2_min,v2_synthetic_seed2_mean,v2_real8_seed0_min,v2_real8_seed0_mean,v2_real8_seed1_min,v2_real8_seed1_mean,v2_real8_seed2_min,v2_real8_seed2_mean
08785a8518,2,0,74,2,0.49606,0.66415,0.7066,0.79844,0.37388,0.61771,0.05749,0.49082,0.87321,0.87535,0.80928,0.87631,0.7178,0.84425,0.66192,0.81442,0.79182,0.86497
08785a8518,3,1,81,4,0.99331,0.99485,0.01243,0.65502,0.8977,0.96,0.61045,0.87809,0.72096,0.89496,0.92079,0.96362,0.98309,0.98621,0.96323,0.98023,0.99142,0.99356
83721fbfce,0,1,68,2,0.98678,0.99165,0.97443,0.98172,0.9458,0.95533,0.97998,0.98204,0.95728,0.97577,0.94892,0.96675,0.97443,0.97766,0.95854,0.97014,0.93721,0.9466
83721fbfce,1,1,60,2,0.99168,0.99453,0.9836,0.98631,0.96691,0.97048,0.98409,0.989,0.97283,0.98411,0.96095,0.97426,0.97702,0.98103,0.96432,0.97468,0.95465,0.96027
83721fbfce,2,1,70,2,0.98594,0.99117,0.97324,0.9804,0.96036,0.9653,0.98088,0.98709,0.96095,0.9777,0.95397,0.96771,0.96432,0.97102,0.95397,0.97213,0.93721,0.95103
83721fbfce,3,1,67,2,0.98058,0.98812,0.95854,0.97107,0.94967,0.95617,0.97324,0.98146,0.94815,0.97052,0.93629,0.96089,0.94165,0.9501,0.93991,0.95366,0.9458,0.94988
5377384f0e,0,1,96,4,0.99683,0.99819,0.9855,0.99147,0.91368,0.9669,0.95854,0.98372,0.9659,0.98599,0.97324,0.98169,0.89479,0.95244,0.9458,0.96548,0.88563,0.95262
5377384f0e,1,1,128,5,0.90862,0.97868,0.92414,0.98199,0.81048,0.94887,0.90731,0.97734,0.95257,0.98325,0.83441,0.95788,0.94892,0.979,0.97156,0.98289,0.92736,0.97317
5377384f0e,2,0,76,3,0.71463,0.90413,0.51721,0.82481,0.70171,0.87397,0.72096,0.89579,0.63068,0.86464,0.63793,0.86665,0.90192,0.9336,0.63793,0.85561,0.83973,0.90471
5377384f0e,3,1,89,6,0.98504,0.9928,0.89479,0.97425,0.71938,0.92652,0.93812,0.9774,0.96095,0.98269,0.94892,0.97816,0.87493,0.95748,0.91118,0.96744,0.89029,0.96358
2ae8e1ea00,0,0,207,7,0.00858,0.69276,0.00395,0.71081,0.15714,0.58679,0.0827,0.61588,0.09671,0.80803,0.08756,0.74795,0.03622,0.37164,0.23935,0.72426,0.08756,0.47464
2ae8e1ea00,1,0,405,11,0.00225,0.77203,0.00017,0.72642,0.10375,0.73776,0.01205,0.79694,0.01243,0.76784,0.00506,0.82257,0.05665,0.40131,0.04024,0.57069,0.02369,0.66568
2ae8e1ea00,2,0,201,5,0.00061,0.75009,4e-05,0.67221,0.05033,0.64997,0.00165,0.76583,0.00758,0.7574,0.0017,0.71979,0.03622,0.48218,0.03259,0.6189,0.01205,0.54491
2ae8e1ea00,3,0,227,5,0.96691,0.98473,0.9679,0.99152,0.96838,0.98482,0.97771,0.99067,0.97558,0.99095,0.96378,0.98329,0.85585,0.86167,0.93991,0.9519,0.89479,0.91477
4e3c00c973,0,1,71,2,0.95791,0.97274,0.83004,0.8827,0.94079,0.9456,0.92304,0.9502,0.88876,0.93016,0.9344,0.94881,0.94165,0.96263,0.95186,0.95581,0.98458,0.98481
4e3c00c973,1,1,81,3,0.9855,0.99206,0.79182,0.92023,0.93991,0.95948,0.97482,0.9841,0.9458,0.97086,0.95328,0.97511,0.96886,0.98441,0.97631,0.9818,0.99029,0.99262
4e3c00c973,2,1,72,2,0.85096,0.91532,0.78266,0.82707,0.92736,0.93658,0.90599,0.91922,0.87831,0.89538,0.52123,0.69722,0.96886,0.97647,0.96095,0.96467,0.98201,0.98255
